id,canton_id/id,code,name
eliterp_parish_1,eliterp_canton_1,10101,Bellavista
eliterp_parish_2,eliterp_canton_1,10102,Cañaribamba
eliterp_parish_3,eliterp_canton_1,10103,El Batan
eliterp_parish_4,eliterp_canton_1,10104,El Sagrario
eliterp_parish_5,eliterp_canton_1,10105,El Vecino
eliterp_parish_6,eliterp_canton_1,10106,Gil Ramirez Davalos
eliterp_parish_7,eliterp_canton_1,10107,Huaynacapac
eliterp_parish_8,eliterp_canton_1,10108,Machangara
eliterp_parish_9,eliterp_canton_1,10109,Monay
eliterp_parish_10,eliterp_canton_1,10110,San Blas
eliterp_parish_11,eliterp_canton_1,10111,San Sebastian
eliterp_parish_12,eliterp_canton_1,10112,Sucre
eliterp_parish_13,eliterp_canton_1,10113,Totoracocha
eliterp_parish_14,eliterp_canton_1,10114,Yanuncay
eliterp_parish_15,eliterp_canton_1,10115,Hermano Miguel
eliterp_parish_16,eliterp_canton_1,10150,Cuenca
eliterp_parish_17,eliterp_canton_1,10151,Baños
eliterp_parish_18,eliterp_canton_1,10152,Cumbe
eliterp_parish_19,eliterp_canton_1,10153,Chaucha
eliterp_parish_20,eliterp_canton_1,10154,Checa (Jidcay)
eliterp_parish_21,eliterp_canton_1,10155,Chiquintad
eliterp_parish_22,eliterp_canton_1,10156,Llacao
eliterp_parish_23,eliterp_canton_1,10157,Molleturo
eliterp_parish_24,eliterp_canton_1,10158,Nulti
eliterp_parish_25,eliterp_canton_1,10159,Octavio Cordero Palacios (Santa Rosa)
eliterp_parish_26,eliterp_canton_1,10160,Paccha
eliterp_parish_27,eliterp_canton_1,10161,Quingeo
eliterp_parish_28,eliterp_canton_1,10162,Ricaurte
eliterp_parish_29,eliterp_canton_1,10163,San Joaquin
eliterp_parish_30,eliterp_canton_1,10164,Santa Ana
eliterp_parish_31,eliterp_canton_1,10165,Sayausi
eliterp_parish_32,eliterp_canton_1,10166,Sidcay
eliterp_parish_33,eliterp_canton_1,10167,Sinincay
eliterp_parish_34,eliterp_canton_1,10168,Tarqui
eliterp_parish_35,eliterp_canton_1,10169,Turi
eliterp_parish_36,eliterp_canton_1,10170,Valle
eliterp_parish_37,eliterp_canton_1,10171,Victoria Del Portete (Irquis)
eliterp_parish_38,eliterp_canton_2,10250,Giron
eliterp_parish_39,eliterp_canton_2,10251,Asuncion
eliterp_parish_40,eliterp_canton_2,10252,San Gerardo
eliterp_parish_41,eliterp_canton_3,10350,Gualaceo
eliterp_parish_42,eliterp_canton_3,10351,Chordeleg
eliterp_parish_43,eliterp_canton_3,10352,Daniel Córdova Toral (El Oriente)
eliterp_parish_44,eliterp_canton_3,10353,Jadan
eliterp_parish_45,eliterp_canton_3,10354,Mariano Moreno
eliterp_parish_46,eliterp_canton_3,10355,Principal
eliterp_parish_47,eliterp_canton_3,10356,Remigio Crespo Toral (gulag)
eliterp_parish_48,eliterp_canton_3,10357,San Juan
eliterp_parish_49,eliterp_canton_3,10358,Zhidmad
eliterp_parish_50,eliterp_canton_3,10359,Luis Cordero Vega
eliterp_parish_51,eliterp_canton_3,10360,Simon Bolivar (cab. En Gañanzol)
eliterp_parish_52,eliterp_canton_4,10450,Nabon
eliterp_parish_53,eliterp_canton_4,10451,Cochapata
eliterp_parish_54,eliterp_canton_4,10452,El Progreso (cab.en Zhota)
eliterp_parish_55,eliterp_canton_4,10453,Las Nieves (chaya)
eliterp_parish_56,eliterp_canton_4,10454,Oña
eliterp_parish_57,eliterp_canton_5,10550,Paute
eliterp_parish_58,eliterp_canton_5,10551,Amaluza
eliterp_parish_59,eliterp_canton_5,10552,Bulan (jose Victor Izquierdo)
eliterp_parish_60,eliterp_canton_5,10553,Chican (guillermo Ortega)
eliterp_parish_61,eliterp_canton_5,10554,El Cabo
eliterp_parish_62,eliterp_canton_5,10555,Guachapala
eliterp_parish_63,eliterp_canton_5,10556,Guarainag
eliterp_parish_64,eliterp_canton_5,10557,Palmas
eliterp_parish_65,eliterp_canton_5,10558,Pan
eliterp_parish_66,eliterp_canton_5,10559,San Cristobal (Carlos Ordoñez Lazo)
eliterp_parish_67,eliterp_canton_5,10560,Sevilla De Oro
eliterp_parish_68,eliterp_canton_5,10561,Tomebamba
eliterp_parish_69,eliterp_canton_5,10562,Dug Dug
eliterp_parish_70,eliterp_canton_6,10650,Pucara
eliterp_parish_71,eliterp_canton_6,10651,Camilo Ponce Enriquez (cab. En Rio 7 De Mollepongo)
eliterp_parish_72,eliterp_canton_6,10652,San Rafael De Sharug
eliterp_parish_73,eliterp_canton_7,10750,San Fernando
eliterp_parish_74,eliterp_canton_7,10751,Chumblin
eliterp_parish_75,eliterp_canton_8,10850,Santa Isabel (chaguarurco)
eliterp_parish_76,eliterp_canton_8,10851,Abdon Calderon (la Union)
eliterp_parish_77,eliterp_canton_8,10852,El Carmen De Pijili
eliterp_parish_78,eliterp_canton_8,10853,Zhaglli (shaglli)
eliterp_parish_79,eliterp_canton_8,10854,San Salvador De Cañaribamba
eliterp_parish_80,eliterp_canton_9,10950,Sigsig
eliterp_parish_81,eliterp_canton_9,10951,Cuchil (cutchil)
eliterp_parish_82,eliterp_canton_9,10952,Gima
eliterp_parish_83,eliterp_canton_9,10953,Guel
eliterp_parish_84,eliterp_canton_9,10954,Ludo
eliterp_parish_85,eliterp_canton_9,10955,San Bartolome
eliterp_parish_86,eliterp_canton_9,10956,San Jose De Raranga
eliterp_parish_87,eliterp_canton_10,11050,San Felipe De Oña Cabecera Cantonal
eliterp_parish_88,eliterp_canton_10,11051,Susudel
eliterp_parish_89,eliterp_canton_11,11150,Chordeleg
eliterp_parish_90,eliterp_canton_11,11151,Principal
eliterp_parish_91,eliterp_canton_11,11152,La Union
eliterp_parish_92,eliterp_canton_11,11153,Luis Galarza Orellana (cab.en Delegsol)
eliterp_parish_93,eliterp_canton_11,11154,San Martin De Puzhio
eliterp_parish_94,eliterp_canton_12,11250,El Pan
eliterp_parish_95,eliterp_canton_12,11251,Amaluza
eliterp_parish_96,eliterp_canton_12,11252,Palmas
eliterp_parish_97,eliterp_canton_12,11253,San Vicente
eliterp_parish_98,eliterp_canton_13,11350,Sevilla De Oro
eliterp_parish_99,eliterp_canton_13,11351,Amaluza
eliterp_parish_100,eliterp_canton_13,11352,Palmas
eliterp_parish_101,eliterp_canton_14,11450,Guachapala
eliterp_parish_102,eliterp_canton_15,11550,Camilo Ponce Enriquez
eliterp_parish_103,eliterp_canton_15,11551,El Carmen De Pijili
eliterp_parish_104,eliterp_canton_16,20101,Angel Polibio Chaves
eliterp_parish_105,eliterp_canton_16,20102,Gabriel Ignacio Veintimilla
eliterp_parish_106,eliterp_canton_16,20103,Guanujo
eliterp_parish_107,eliterp_canton_16,20150,Guaranda
eliterp_parish_108,eliterp_canton_16,20151,Facundo Vela
eliterp_parish_109,eliterp_canton_16,20152,Guanujo
eliterp_parish_110,eliterp_canton_16,20153,Julio E. Moreno (catanahuan Grande)
eliterp_parish_111,eliterp_canton_16,20154,Las Naves
eliterp_parish_112,eliterp_canton_16,20155,Salinas
eliterp_parish_113,eliterp_canton_16,20156,San Lorenzo
eliterp_parish_114,eliterp_canton_16,20157,San Simon (yacoto)
eliterp_parish_115,eliterp_canton_16,20158,Santa Fe (santa Fe)
eliterp_parish_116,eliterp_canton_16,20159,Simiatug
eliterp_parish_117,eliterp_canton_16,20160,San Luis De Pambil
eliterp_parish_118,eliterp_canton_17,20250,Chillanes
eliterp_parish_119,eliterp_canton_17,20251,San Jose Del Tambo (tambopamba)
eliterp_parish_120,eliterp_canton_18,20350,San Jose De Chimbo
eliterp_parish_121,eliterp_canton_18,20351,Asuncion (asancoto)
eliterp_parish_122,eliterp_canton_18,20352,Caluma
eliterp_parish_123,eliterp_canton_18,20353,Magdalena (chapacoto)
eliterp_parish_124,eliterp_canton_18,20354,San Sebastian
eliterp_parish_125,eliterp_canton_18,20355,Telimbela
eliterp_parish_126,eliterp_canton_19,20450,Echeandia
eliterp_parish_127,eliterp_canton_20,20550,San Miguel
eliterp_parish_128,eliterp_canton_20,20551,Balsapamba
eliterp_parish_129,eliterp_canton_20,20552,Bilovan
eliterp_parish_130,eliterp_canton_20,20553,Regulo De Mora
eliterp_parish_131,eliterp_canton_20,20554,San Pablo (san Pablo De Atenas)
eliterp_parish_132,eliterp_canton_20,20555,Santiago
eliterp_parish_133,eliterp_canton_20,20556,San Vicente
eliterp_parish_134,eliterp_canton_21,20650,Caluma
eliterp_parish_135,eliterp_canton_22,20701,Las Mercedes
eliterp_parish_136,eliterp_canton_22,20702,Las Naves
